location,count,link
"boise (idaho)",3172,"https://dcnb.github.io//bsu-demo/browse.html#boise%20(idaho)"
"boise river (idaho)",78,"https://dcnb.github.io//bsu-demo/browse.html#boise%20river%20(idaho)"
"boise foothills (idaho)",25,"https://dcnb.github.io//bsu-demo/browse.html#boise%20foothills%20(idaho)"
"bakersfield (calif.)",15,"https://dcnb.github.io//bsu-demo/browse.html#bakersfield%20(calif.)"
"glendale (arizona)",12,"https://dcnb.github.io//bsu-demo/browse.html#glendale%20(arizona)"
"lewiston (idaho)",5,"https://dcnb.github.io//bsu-demo/browse.html#lewiston%20(idaho)"
"moscow (idaho)",4,"https://dcnb.github.io//bsu-demo/browse.html#moscow%20(idaho)"
"pasadena (calif.)",3,"https://dcnb.github.io//bsu-demo/browse.html#pasadena%20(calif.)"
"glenns ferry (idaho)",3,"https://dcnb.github.io//bsu-demo/browse.html#glenns%20ferry%20(idaho)"
"table rock (idaho)",3,"https://dcnb.github.io//bsu-demo/browse.html#table%20rock%20(idaho)"
"bruneau (idaho)",2,"https://dcnb.github.io//bsu-demo/browse.html#bruneau%20(idaho)"
"nampa (idaho)",2,"https://dcnb.github.io//bsu-demo/browse.html#nampa%20(idaho)"
"onate (spain)",2,"https://dcnb.github.io//bsu-demo/browse.html#onate%20(spain)"
"mountain home (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#mountain%20home%20(idaho)"
"san francisco (calif.)",1,"https://dcnb.github.io//bsu-demo/browse.html#san%20francisco%20(calif.)"
"minidoka (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#minidoka%20(idaho)"
"king hill (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#king%20hill%20(idaho)"
"san sabastian (spain)",1,"https://dcnb.github.io//bsu-demo/browse.html#san%20sabastian%20(spain)"
"donnelly (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#donnelly%20(idaho)"
"owyhee county (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#owyhee%20county%20(idaho)"
"sun valley (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#sun%20valley%20(idaho)"
"star (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#star%20(idaho)"
"clover creek (idaho)",1,"https://dcnb.github.io//bsu-demo/browse.html#clover%20creek%20(idaho)"
